student_id,gender,age,department,year_of_study,socio_economic_status,parental_education,hostel_status,attendance_percentage,internal_marks,assignment_score,lab_performance,previous_sem_gpa,backlogs,study_hours_per_week,participation,extracurricular_score,login_frequency,library_usage,online_course_completion,discipline_records,stress_level,current_gpa,pass_fail,at_risk_student
STU00001,Female,24,MECH,3,Medium,Master,Day Scholar,65.76,57.48,76.96,75.76,5.63,2,13.84,Medium,41.52,56.84,11.09,49.22,1,Medium,5.32,1,1
STU00002,Male,22,EEE,3,Low,No Degree,Hosteller,83.72,73.81,84.73,79.63,7.21,0,19.47,High,66.27,41.96,8.23,54.54,0,Medium,6.94,1,0
STU00003,Male,20,ECE,3,Medium,Bachelor,Day Scholar,65.84,53.15,28.99,62.2,6.03,0,24.65,Medium,62.21,56.56,9.78,75.65,0,Medium,4.65,1,1
STU00004,Female,20,MBA,3,Low,No Degree,Day Scholar,83.52,48.06,79.96,77.02,7.02,0,21.39,Medium,48.42,39.44,23.1,41.21,1,Medium,5.97,1,0
STU00005,Male,20,ECE,3,Medium,Diploma,Hosteller,71.91,78.69,84.0,63.33,5.62,1,12.0,Low,52.13,69.94,11.47,75.25,0,High,7.11,1,0
STU00006,Female,20,MECH,2,High,No Degree,Hosteller,80.02,55.9,75.58,66.63,10.0,1,26.52,Low,8.18,56.89,23.97,47.1,1,High,6.21,1,0
STU00007,Male,21,ECE,2,High,No Degree,Day Scholar,64.68,46.7,75.93,50.86,6.23,0,11.17,High,24.51,53.12,15.02,76.54,1,Medium,4.91,1,1
STU00008,Female,19,MCA,1,Low,Bachelor,Hosteller,70.14,79.0,70.22,54.85,9.33,0,20.31,Low,52.99,47.65,7.63,100.0,0,Low,6.55,1,0
STU00009,Female,24,CIVIL,3,Medium,Bachelor,Hosteller,81.18,58.7,41.4,75.29,9.04,0,16.46,Medium,45.18,72.75,18.73,41.41,0,High,6.06,1,0
STU00010,Female,19,MBA,2,Medium,PhD,Hosteller,95.19,68.68,98.38,76.81,10.0,0,13.86,High,53.38,62.94,23.7,33.29,1,Low,8.45,1,0
STU00011,Male,20,MBA,3,Low,No Degree,Day Scholar,84.41,69.92,59.15,57.9,5.6,2,21.0,High,32.45,84.31,10.39,39.16,1,Medium,5.35,0,1
STU00012,Female,23,ECE,4,Medium,PhD,Hosteller,68.99,74.56,58.73,65.45,5.54,0,24.95,Low,41.32,29.58,5.5,59.86,0,High,6.41,1,0
STU00013,Female,22,MECH,4,Low,Bachelor,Hosteller,85.98,64.53,66.04,89.99,5.64,0,17.22,Medium,53.28,46.16,2.56,28.36,0,Low,6.03,1,0
STU00014,Female,24,MBA,4,Low,Diploma,Day Scholar,70.78,57.64,69.31,68.65,6.81,0,20.02,Low,0.0,61.53,12.23,51.09,0,Medium,6.14,1,0
STU00015,Female,23,ECE,3,Low,Bachelor,Day Scholar,63.04,63.46,53.61,64.21,7.75,2,29.02,Low,21.16,85.57,18.13,64.43,0,Medium,5.84,0,1
STU00016,Female,23,CSE,4,Medium,Bachelor,Hosteller,81.58,57.83,37.49,73.56,7.12,0,11.11,Medium,46.78,25.71,5.84,31.23,0,Medium,6.68,1,0
STU00017,Female,21,ECE,4,Low,Bachelor,Hosteller,87.69,76.07,69.85,69.76,7.38,0,14.46,Medium,22.27,90.43,17.25,0.0,0,High,6.32,1,0
STU00018,Male,21,MCA,3,Medium,No Degree,Day Scholar,74.2,62.57,79.01,49.84,8.42,0,25.69,Medium,23.49,36.54,5.03,56.26,0,Medium,5.87,1,0
STU00019,Male,20,CSE,2,Medium,Diploma,Hosteller,90.7,65.35,76.81,69.14,4.46,0,17.19,Medium,59.93,39.96,11.01,28.33,0,High,6.91,1,0
STU00020,Male,20,MBA,1,Medium,Bachelor,Day Scholar,85.28,71.9,51.2,68.52,4.71,1,21.17,Medium,52.56,93.16,17.09,39.43,1,Low,4.97,1,1
STU00021,Male,20,MBA,2,Low,Bachelor,Day Scholar,92.0,72.28,61.87,67.88,4.89,0,21.54,Medium,94.38,42.56,10.39,35.61,0,High,6.93,1,0
STU00022,Female,23,MECH,4,Medium,Master,Day Scholar,100.0,65.2,79.47,60.78,8.64,0,13.93,Medium,55.25,60.15,8.9,68.95,0,Medium,7.44,1,0
STU00023,Male,22,CIVIL,1,Low,Bachelor,Hosteller,82.28,64.96,97.85,58.9,5.62,0,19.94,Medium,17.54,45.43,0.0,56.01,0,High,5.87,1,0
STU00024,Female,22,CSE,1,High,Diploma,Hosteller,68.83,71.36,64.83,68.67,8.03,0,18.55,Medium,64.09,71.18,11.04,42.78,0,High,5.91,1,0
STU00025,Male,19,ECE,1,Low,Bachelor,Day Scholar,75.64,68.74,59.57,87.49,7.59,0,28.77,High,15.02,54.85,14.2,27.14,0,High,6.88,1,0
STU00026,Female,23,EEE,4,High,Master,Day Scholar,55.0,74.16,68.05,61.3,7.69,0,13.87,High,52.17,90.62,21.74,58.99,0,Medium,6.53,1,1
STU00027,Male,21,EEE,4,Low,Bachelor,Day Scholar,55.0,61.4,75.63,74.56,6.38,2,19.87,Medium,53.75,75.89,14.18,27.55,0,High,5.44,0,1
STU00028,Male,20,EEE,1,Medium,Master,Hosteller,93.02,52.08,66.73,77.99,8.36,0,16.24,Medium,60.14,72.37,9.84,58.26,0,Medium,6.4,1,0
STU00029,Male,21,ECE,2,Medium,Diploma,Hosteller,90.97,58.16,66.71,69.9,8.89,0,14.0,Low,33.98,88.18,0.0,24.93,1,Low,6.68,1,0
